"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","BOM"
"","","J4","LO","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"","","J5","I/Q Out","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"","","J8","IO","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~",""
"","","L1","4.7u","Device:L","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","DIST DIGIKEY  587-2034-1-ND"
"","","L2","0.56u","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY  LBM2016TR56J"
"","","MH1","","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"","","MH2","","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"","","MH3","","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"","","MH4","","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"","","R1","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [1206]"
"","","R2","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [1206]"
"","","R3","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 100 1% [1206]"
"","","R4","49.9","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 49.9 1% [1206]"
"","","R5","10","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 10 1% [1206]"
"","","R6","10","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 10 1% [1206]"
"","","R7","4.99k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 4.99k 1% [1206]"
"","","R8","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 100 1% [1206]"
"","","R9","49.9","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 49.9 1% [1206]"
"","","R10","4.99k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 4.99k 1% [1206]"
"","","R11","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [0805]"
"","","R12","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [0805]"
"","","R13","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [0805]"
"","","R14","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [0805]"
"","","SW1","LEFT","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_TL3342","~","DIST DIGIKEY EG2531CT-ND"
"","","SW2","RIGHT","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_TL3342","~","DIST DIGIKEY EG2531CT-ND"
"","","T1","CX2074NL","Device:Transformer_1P_SS","local:CX2074","~","DIST DIGIKEY  553-1655-ND"
"","","U1","LT6231","Amplifier_Operational:LT6234","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/623345fc.pdf","DIST DIGIKEY  LT6231CS8#PBF-ND"
"","","U2","FST3253","Analog_Switch:SN74CBT3253","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.fairchildsemi.com/datasheets/FS/FST3253.pdf","DIST DIGIKEY 296-19206-1-ND"
"","","U3","LDK320ADU33R","Regulator_Linear:MCP1703A-3302_SOT89","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf","DIST DIGIKEY 497-17585-1-ND"
"","","U4","Si5351A-B-GT","Oscillator:Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","DIST DIGIKEY 336-3908-1-ND"
"","","U5","ATtiny24-20SS","MCU_Microchip_ATtiny:ATtiny24-20SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8006.pdf","DIST DIGIKEY  ATTINY24A-SSU-ND"
"","","X1","25 MHz","Device:Crystal_Small","Crystal:Crystal_SMD_HC49-SD","~","DIST DIGIKEY  535-10235-1-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","BOM"
"1","6","C1, C2, C3, C5, C11, C12","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.1u  ±10% ≥X7R [1206]"
"2","3","C4, C14, C16","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 4.7u ±20% 10V [1206]"
"3","1","C6","110p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 110p ±5% NP0 [1206]"
"4","2","C7, C9","0.047u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 0.047u ±10% ≥X5R [1206]"
"5","1","C8","680p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 680p  ±5% NP0 [1206]"
"6","2","C10, C13","390p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","CAP MLCC 390p  ±5% NP0 [1206]"
"7","4","D1, D2, D3, D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY 732-4984-1-ND"
"8","1","J1","I/Q Out","Connector:AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","~","DIST DIGIKEY CP-3523SJCT-ND"
"9","1","J2","ANT","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","DIST DIGIKEY CON-SMA-EDGE-S-ND "
"10","1","J3","ISP","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","DIST DIGIKEY 609-2846-ND"
"11","1","J4","LO","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"12","1","J5","I/Q Out","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"13","1","J8","IO","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~",""
"14","1","L1","4.7u","Device:L","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","DIST DIGIKEY  587-2034-1-ND"
"15","1","L2","0.56u","Device:L","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","DIST DIGIKEY  LBM2016TR56J"
"16","4","MH1, MH2, MH3, MH4","","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~",""
"17","6","R1, R2, R11, R12, R13, R14","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 1k 1% [1206]"
"18","2","R3, R8","100","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 100 1% [1206]"
"19","2","R4, R9","49.9","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 49.9 1% [1206]"
"20","2","R5, R6","10","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 10 1% [1206]"
"21","2","R7, R10","4.99k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","RES SMD 4.99k 1% [1206]"
"22","1","SW1","LEFT","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_TL3342","~","DIST DIGIKEY EG2531CT-ND"
"23","1","SW2","RIGHT","Switch:SW_SPST","Button_Switch_SMD:SW_SPST_TL3342","~","DIST DIGIKEY EG2531CT-ND"
"24","1","T1","CX2074NL","Device:Transformer_1P_SS","local:CX2074","~","DIST DIGIKEY  553-1655-ND"
"25","1","U1","LT6231","Amplifier_Operational:LT6234","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/623345fc.pdf","DIST DIGIKEY  LT6231CS8#PBF-ND"
"26","1","U2","FST3253","Analog_Switch:SN74CBT3253","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.fairchildsemi.com/datasheets/FS/FST3253.pdf","DIST DIGIKEY 296-19206-1-ND"
"27","1","U3","LDK320ADU33R","Regulator_Linear:MCP1703A-3302_SOT89","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf","DIST DIGIKEY 497-17585-1-ND"
"28","1","U4","Si5351A-B-GT","Oscillator:Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","DIST DIGIKEY 336-3908-1-ND"
"29","1","U5","ATtiny24-20SS","MCU_Microchip_ATtiny:ATtiny24-20SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8006.pdf","DIST DIGIKEY  ATTINY24A-SSU-ND"
"30","1","X1","25 MHz","Device:Crystal_Small","Crystal:Crystal_SMD_HC49-SD","~","DIST DIGIKEY  535-10235-1-ND"
